"","scen","method","power","X","bt.type","n","nX","nY","rho.XX","rho.YY","rho.XY","prop.corr","group","method.label"
"181",23,"ours.0.01",0.5,31,"ha.resid",1000,1,40,0,0.3,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Global (alpha=0.01)"
"182",23,"ours.0.05",0.5,31,"ha.resid",1000,1,40,0,0.3,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Global (alpha=0.05)"
"183",23,"Romano",0.632,31,"ha.resid",1000,1,40,0,0.3,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Romano"
"184",23,"Wstep",0.49,31,"ha.resid",1000,1,40,0,0.3,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Wstep"
"185",24,"bonf.naive",0.304,32,"ha.resid",1000,1,40,0,0.6,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Bonferroni"
"186",24,"holm",0.304,32,"ha.resid",1000,1,40,0,0.6,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Holm"
"188",24,"minP",0.43,32,"ha.resid",1000,1,40,0,0.6,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","minP"
"189",24,"ours.0.01",0.392,32,"ha.resid",1000,1,40,0,0.6,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Global (alpha=0.01)"
"190",24,"ours.0.05",0.326,32,"ha.resid",1000,1,40,0,0.6,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Global (alpha=0.05)"
"191",24,"Romano",0.52,32,"ha.resid",1000,1,40,0,0.6,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Romano"
"192",24,"Wstep",0.43,32,"ha.resid",1000,1,40,0,0.6,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Wstep"
"193",25,"bonf.naive",0.872,49,"ha.resid",1000,1,40,0,0,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Bonferroni"
"194",25,"holm",0.872,49,"ha.resid",1000,1,40,0,0,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Holm"
"196",25,"minP",0.868,49,"ha.resid",1000,1,40,0,0,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","minP"
"197",25,"ours.0.01",0.972,49,"ha.resid",1000,1,40,0,0,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Global (alpha=0.01)"
"198",25,"ours.0.05",0.998,49,"ha.resid",1000,1,40,0,0,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Global (alpha=0.05)"
"199",25,"Romano",0.968,49,"ha.resid",1000,1,40,0,0,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Romano"
"200",25,"Wstep",0.868,49,"ha.resid",1000,1,40,0,0,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Wstep"
"201",26,"bonf.naive",0.746,50,"ha.resid",1000,1,40,0,0.1,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Bonferroni"
"202",26,"holm",0.746,50,"ha.resid",1000,1,40,0,0.1,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Holm"
"204",26,"minP",0.756,50,"ha.resid",1000,1,40,0,0.1,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","minP"
"205",26,"ours.0.01",0.808,50,"ha.resid",1000,1,40,0,0.1,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Global (alpha=0.01)"
"206",26,"ours.0.05",0.956,50,"ha.resid",1000,1,40,0,0.1,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Global (alpha=0.05)"
"207",26,"Romano",0.846,50,"ha.resid",1000,1,40,0,0.1,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Romano"
"208",26,"Wstep",0.756,50,"ha.resid",1000,1,40,0,0.1,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Wstep"
"209",27,"bonf.naive",0.566,51,"ha.resid",1000,1,40,0,0.3,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Bonferroni"
"210",27,"holm",0.566,51,"ha.resid",1000,1,40,0,0.3,0.05,1,"X-Y correlation: 0.05 for 100% of pairs","Holm"
